Date,Price,Open,High,Low,Vol.,Change %
2015.03.02,119.26,119.24,119.71,119.2,9.40K,-0.09
2015.03.03,118.69,119.32,119.36,118.48,5.90K,-0.48
2015.03.04,118.29,118.44,118.61,118.25,2.38K,-0.34
2015.03.05,118.49,118.49,118.8,118.04,10.13K,0.17
2015.03.06,117.63,118.63,118.7,117.67,0.82K,-0.73
2015.03.09,117.78,117.77,118.07,117.7,0.39K,0.13
2015.03.10,119.09,118.13,119.25,118.13,0.34K,1.11
2015.03.11,119.06,119.31,119.31,118.7,4.63K,-0.03
2015.03.12,119.79,119.65,119.67,119.56,0.12K,0.61
2015.03.13,120.18,119.4,120.06,119.4,0.33K,0.33
2015.03.16,120.33,120.23,120.23,120.23,0.05K,0.12
2015.03.17,120.39,120.36,120.36,120.36,0.01K,0.05
2015.03.18,120.32,119.51,120.56,119.51,0,-0.06
2015.03.19,121.89,121.75,121.94,121.48,0.58K,1.31
2015.03.20,121.95,121.7,121.95,121.7,0.02K,0.05
2015.03.23,121.25,121.26,121.54,120.97,0,-0.57
2015.03.24,122.07,122.24,122.24,122.24,0.89K,0.67
2015.03.25,122.41,122.45,122.45,122.45,5.88K,0.28
2015.03.26,120.36,121.47,121.56,120.35,0,-1.67
2015.03.27,121.89,120.95,121.04,120.95,0.16K,1.27
2015.03.30,120.73,121.02,121.08,120.51,91.33K,-0.95
2015.03.31,120.75,120.63,120.98,120.4,133.91K,0.02
2015.04.01,120.96,120.6,121.07,120.15,140.50K,0.17
2015.04.02,120.51,120.94,121.28,120.39,98.66K,-0.37
2015.04.07,120.46,120.79,120.79,120.15,88.91K,-0.04
2015.04.08,120.6,120.76,120.83,120.41,101.49K,0.12
2015.04.09,120.57,120.61,121.2,120.47,109.55K,-0.02
2015.04.10,120.45,120.38,120.76,120.12,95.75K,-0.1
2015.04.13,120.38,120.67,120.69,120.01,94.24K,-0.06
2015.04.14,121.29,120.62,121.43,120.52,129.96K,0.76
2015.04.15,120.82,121.18,121.2,120.71,114.44K,-0.39
2015.04.16,120.4,120.74,120.97,120.26,163.63K,-0.35
2015.04.17,120.58,120.6,121.1,120.39,133.82K,0.15
2015.04.20,120.77,120.59,120.87,120.46,99.26K,0.16
2015.04.21,120.75,120.78,120.99,120.53,138.03K,-0.02
2015.04.22,119.52,120.85,120.86,119.19,197.35K,-1.02
2015.04.23,119.57,119.37,119.77,119.25,141.61K,0.04
2015.04.24,120.03,119.77,120.07,119.3,115.22K,0.38
2015.04.27,119.61,120.08,120.13,119.51,85.00K,-0.35
2015.04.28,119.6,119.72,119.89,119.45,128.57K,-0.01
2015.04.29,118.25,119.37,119.38,118.13,241.69K,-1.13
2015.04.30,118.12,118.46,118.65,117.73,242.89K,-0.11
2015.05.01,118.17,118.34,118.68,118.03,78.30K,0.04
2015.05.05,116.83,117.72,117.95,116.75,201.70K,-1.13
2015.05.06,116.81,116.78,117.39,116.46,238.11K,-0.02
2015.05.07,117.27,116.47,117.55,115.99,235.16K,0.39
2015.05.08,117.86,118.58,118.83,117.26,260.41K,0.5
2015.05.11,117.3,117.74,117.76,116.96,131.35K,-0.48
2015.05.12,116.63,116.65,116.93,116.21,242.70K,-0.57
2015.05.13,116.72,116.78,117.5,116.38,210.13K,0.08
2015.05.14,116.71,116.59,117.06,116.26,172.79K,-0.01
